time,up,down,total,big
2019-04-28 2:00:00,9,4,13,13.1
2019-04-28 3:00:00,11,5,16,10.4
2019-04-28 4:00:00,5,5,10,8.2
2019-04-28 5:00:00,3,14,17,9.8
2019-04-28 6:00:00,7,9,16,7.5
2019-04-28 7:00:00,8,19,27,5.8
2019-04-28 8:00:00,5,12,17,9.8
2019-04-28 9:00:00,6,9,15,7.9
2019-04-28 10:00:00,9,20,29,8.7
2019-04-28 11:00:00,6,12,18,10
2019-04-28 12:00:00,13,11,24,10.6
2019-04-28 13:00:00,12,3,15,8
2019-04-28 14:00:00,8,0,8,10.2
2019-04-28 15:00:00,2,5,7,15.1
2019-04-28 16:00:00,4,7,11,13.9
2019-04-28 17:00:00,17,1,18,9.2
2019-04-28 18:00:00,18,4,22,9
2019-04-28 19:00:00,8,6,14,13.2
2019-04-28 20:00:00,10,4,14,7
2019-04-28 21:00:00,7,16,23,10.6
2019-04-28 22:00:00,12,6,18,6.9
2019-04-28 23:00:00,7,12,19,9.5
2019-04-29 0:00:00,14,10,24,12.5
2019-04-29 1:00:00,4,6,10,13.6
2019-04-29 2:00:00,8,10,18,17.7
2019-04-29 3:00:00,8,5,13,16
2019-04-29 4:00:00,3,7,10,11.3
2019-04-29 5:00:00,2,2,4,10.5
2019-04-29 6:00:00,3,3,6,14.4
2019-04-29 7:00:00,3,6,9,10.3
2019-04-29 8:00:00,9,16,25,9
2019-04-29 9:00:00,8,7,15,11.1
2019-04-29 10:00:00,6,16,22,14.5
2019-04-29 11:00:00,3,13,16,18
2019-04-29 12:00:00,6,19,25,12.8
2019-04-29 13:00:00,8,8,16,10.7
2019-04-29 14:00:00,8,4,12,9.1
2019-04-29 15:00:00,15,8,23,8.7
2019-04-29 16:00:00,10,5,15,12.4
2019-04-29 17:00:00,6,5,11,12.6
2019-04-29 18:00:00,9,2,11,10.3
2019-04-29 19:00:00,11,9,20,13.7
2019-04-29 20:00:00,5,7,12,16
2019-04-29 21:00:00,13,7,20,15.8
2019-04-29 22:00:00,5,7,12,12.1
2019-04-29 23:00:00,4,14,18,12.5
2019-04-30 0:00:00,5,12,17,12.2
2019-04-30 1:00:00,5,8,13,13.7
2019-04-30 2:00:00,8,13,21,16.1
2019-04-30 3:00:00,10,8,18,15.5
2019-04-30 4:00:00,6,10,16,10.3
2019-04-30 5:00:00,7,5,12,10.5
2019-04-30 6:00:00,5,9,14,11
2019-04-30 7:00:00,9,3,12,11.9
2019-04-30 8:00:00,4,12,16,13
2019-04-30 9:00:00,3,14,17,12.2
2019-04-30 10:00:00,6,10,16,10.6
2019-04-30 11:00:00,3,8,11,13
2019-04-30 12:00:00,5,7,12,13
2019-04-30 13:00:00,9,12,21,12.2
2019-04-30 14:00:00,9,10,19,12.6
2019-04-30 15:00:00,12,3,15,18.7
2019-04-30 16:00:00,16,4,20,15.2
2019-04-30 17:00:00,4,4,8,15.3
2019-04-30 18:00:00,17,4,21,13.9
2019-04-30 19:00:00,10,3,13,15.8
2019-04-30 20:00:00,5,8,13,13
2019-04-30 21:00:00,6,4,10,13
2019-04-30 22:00:00,6,8,14,13.7
2019-04-30 23:00:00,5,7,12,12
